学习内容,Day,完成,本地文件,核心目标,状态,阶段,预计小时
Day 34｜mountElement 首次元素挂载,34,No,docs/source-reading/daily/http://day-34-mount-element.md,创建宿主元素后先挂 children，再处理 props、scopeId、directive/hook、transition 和 insert,未开始,渲染器,3
Day 31｜Scheduler、nextTick 与任务排序,31,No,docs/source-reading/daily/http://day-31-runtime-scheduler.md,queueJob 通过 id 排序保证父先于子且可跳过已卸载子任务,未开始,运行时模型,3
Day 38｜setupRenderEffect 与首次组件渲染,38,No,docs/source-reading/daily/http://day-38-setup-render-effect.md,componentUpdateFn 首次分支执行 beforeMount、renderComponentRoot、patch subTree、mounted,未开始,渲染器,3
Day 32｜runtime-test 与 Host Renderer 契约,32,No,docs/source-reading/daily/http://day-32-runtime-test-host.md,renderer 只依赖 HostConfig，不直接操作 DOM,未开始,渲染器,3
Day 35｜patchElement 与 Props 快路径,35,No,docs/source-reading/daily/http://day-35-patch-element.md,dynamicChildren 可进入 patchBlockChildren,未开始,渲染器,3
Day 39｜组件更新判定与更新分支,39,No,docs/source-reading/daily/http://day-39-component-update-path.md,shouldUpdateComponent 结合 patchFlag、dynamicProps、slots 与 emits listener,未开始,渲染器,3
Day 49｜v-model、v-show 与事件修饰符,49,No,docs/source-reading/daily/http://day-49-dom-directives.md,v-model 按 text/checkbox/radio/select/dynamic 分派，处理 composition 与 modifiers,未开始,DOM 平台,3
Day 48｜Class、Style 与事件 Invoker,48,No,docs/source-reading/daily/http://day-48-dom-class-style-events.md,patchClass 合并 transition classes 并区分 SVG,未开始,DOM 平台,3
Day 41｜patchKeyedChildren 五阶段,41,No,docs/source-reading/daily/http://day-41-keyed-diff.md,先同步头部与尾部，处理纯新增/纯删除,未开始,渲染器,3
Day 44｜Hydration 核心遍历与节点接管,44,No,docs/source-reading/daily/http://day-44-hydration-overview.md,hydrate 从已有 DOM 与客户端 VNode 同步遍历，不重新创建匹配节点,未开始,渲染器,3
Day 50｜BaseTransition 状态机,50,No,docs/source-reading/daily/http://day-50-base-transition.md,runtime-core 定义平台无关 transition 协议，runtime-dom 实现 CSS/DOM hooks,未开始,内置组件,3
Day 45｜Renderer 全链路复刻与验收,45,No,docs/source-reading/daily/http://day-45-runtime-integration.md,把 host contract、VNode、组件 effect、scheduler、diff、unmount 串成闭环,未开始,渲染器,3
Day 42｜LIS 与最小移动,42,No,docs/source-reading/daily/http://day-42-lis-move.md,只有 moved=true 才计算 getSequence,未开始,渲染器,3
Day 46｜runtime-dom 入口与 nodeOps,46,No,docs/source-reading/daily/http://day-46-runtime-dom-entry-nodeops.md,ensureRenderer 懒创建使只使用 reactivity 时 renderer 可 tree-shake,未开始,DOM 平台,3
Day 43｜卸载、移动、Template Ref 与 Directives,43,No,docs/source-reading/daily/http://day-43-unmount-ref-directives.md,unmount 按组件、Suspense、Teleport、元素/Fragment 分派并安排 hooks,未开始,渲染器,3
Day 47｜patchProp、Attributes 与 DOM Properties,47,No,docs/source-reading/daily/http://day-47-dom-attrs-props.md,patchProp 按 class/style/event/property/attribute 分派,未开始,DOM 平台,3
Day 51｜TransitionGroup 与 FLIP 列表动画,51,No,docs/source-reading/daily/http://day-51-transition-group.md,TransitionGroup 为每个 keyed child 注入 transition hooks,未开始,内置组件,3
Day 59｜属性、指令、表达式与命名空间,59,No,docs/source-reading/daily/http://day-59-compiler-parser-directives.md,属性名回调识别 v-/:/@/# shorthand、arg、modifiers,未开始,编译器,3
Day 58｜元素、文本、插值与注释解析,58,No,docs/source-reading/daily/http://day-58-compiler-parser-basics.md,parser 维护 currentOpenTag、stack、currentProp 与 namespaces,未开始,编译器,3
Day 54｜Suspense、异步依赖与边界切换,54,No,docs/source-reading/daily/http://day-54-suspense.md,SuspenseBoundary 跟踪 deps、pendingBranch、activeBranch 与 effects,未开始,内置组件,3
Day 53｜Teleport 的双容器渲染与移动,53,No,docs/source-reading/daily/http://day-53-teleport.md,主容器保留 anchors，children 挂到 target 并有 target anchors,未开始,内置组件,3
Day 60｜Transform 遍历、Context 与退出回调,60,No,docs/source-reading/daily/http://day-60-transform-context.md,DFS 进入阶段按顺序运行 nodeTransforms，exitFns 逆序执行,未开始,编译器,3
Day 56｜AST 节点、SourceLocation 与 VNodeCall,56,No,docs/source-reading/daily/http://day-56-compiler-ast.md,TemplateChildNode、ExpressionNode、JSChildNode 分属模板 AST 与 codegen AST,未开始,编译器,3
Day 55｜Custom Element、CSS Module 与 CSS Vars,55,No,docs/source-reading/daily/http://day-55-custom-elements-css.md,VueElement 把 Web Component 生命周期、attributes、props、shadow root 接入 Vue app,未开始,DOM 平台,3
Day 57｜Tokenizer 状态机,57,No,docs/source-reading/daily/http://day-57-compiler-tokenizer.md,Tokenizer 单次扫描通过状态转换识别 tag、attr、directive、text、interpolation,未开始,编译器,3
Day 52｜KeepAlive 缓存、激活与淘汰,52,No,docs/source-reading/daily/http://day-52-keep-alive.md,KeepAlive 通过 renderer internals 的 move/patch/unmount 介入,未开始,内置组件,3
Day 62｜表达式改写、文本合并与作用域,62,No,docs/source-reading/daily/http://day-62-transform-expression-text.md,prefixIdentifiers 模式把自由变量改写为 _http://ctx.xxx，同时保护 local identifiers,未开始,编译器,3
Day 63｜Element、Props 与指令 Transform,63,No,docs/source-reading/daily/http://day-63-transform-element-props.md,transformElement 在 exit 时汇总 tag、props、children、directives 与 patchFlag,未开始,编译器,3
Day 70｜Top-level Await、Scoped CSS、资源 URL 与 CSS Vars,70,No,docs/source-reading/daily/http://day-70-sfc-advanced.md,top-level await 被改写为 withAsyncContext 以保存/恢复组件实例,未开始,SFC,3
Day 61｜v-if 与 v-for 结构改写,61,No,docs/source-reading/daily/http://day-61-transform-if-for.md,结构指令 transform 把 Element 替换为 IfNode/ForNode,未开始,编译器,3
Day 66｜compiler-dom 平台扩展与静态字符串化,66,No,docs/source-reading/daily/http://day-66-compiler-dom.md,compiler-dom 向 baseCompile 注入 parserOptions、nodeTransforms、directiveTransforms,未开始,编译器,3
Day 65｜Codegen Context 与 Render Function 输出,65,No,docs/source-reading/daily/http://day-65-compiler-codegen.md,baseCompile 串联 parse → transform → generate,未开始,编译器,3
Day 64｜Slots、Memo、Once 与静态缓存,64,No,docs/source-reading/daily/http://day-64-transform-slots-cache.md,buildSlots 识别 stable/dynamic/forwarded 与动态 slot 分支,未开始,编译器,3
Day 67｜SFC Descriptor、模板与样式编译,67,No,docs/source-reading/daily/http://day-67-sfc-parse-template-style.md,parse 复用 compiler-dom AST，提取 template/script/scriptSetup/styles/customBlocks,未开始,SFC,3
Day 69｜defineProps/Emits/Model/Slots 与类型解析,69,No,docs/source-reading/daily/http://day-69-sfc-macros-types.md,宏只在编译期识别，不能把 local setup 变量用于需提升的 options,未开始,SFC,3
Day 68｜compileScript 上下文与 Binding Metadata,68,No,docs/source-reading/daily/http://day-68-sfc-compile-script.md,ScriptCompileContext 分别解析普通 script 与 script setup AST，并跟踪 imports/macros/bindings,未开始,SFC,3
Day 71｜SSR 编译器与专用 Helpers,71,No,docs/source-reading/daily/http://day-71-compiler-ssr.md,SSR 复用 DOM parser/core transforms，但追加 SSR transform 与专用 codegen,未开始,SSR,3
Day 72｜服务端组件渲染、Buffer 与 Stream,72,No,docs/source-reading/daily/http://day-72-server-renderer.md,renderComponentVNode 创建/复用组件实例并执行 ssrRender 或 vnode fallback,未开始,SSR,3
Day 73｜Hydration、Mismatch 分类与恢复,73,No,docs/source-reading/daily/http://day-73-hydration-deep-dive.md,属性 mismatch 主要警告，结构 mismatch 必须修复 DOM 并维持指针,未开始,SSR,3
Day 75｜HMR、Devtools、Compat 与全内核验收,75,No,docs/source-reading/daily/http://day-75-final-synthesis.md,HMR record/rerender/reload 通过实例集合与 scheduler 更新,未开始,工程复盘,3
Day 74｜Vue 聚合入口、运行时编译与发布形态,74,No,docs/source-reading/daily/http://day-74-vue-build-runtime.md,full build 的 compileToFunction 连接 compiler-dom 与 registerRuntimeCompiler,未开始,工程复盘,3
